"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02196V02652","State","UNIT","VALUE"
"VSQ04C1","Marriages Registered","19812","1981Q2","-","State","Number","4754"
"VSQ04C1","Marriages Registered","19813","1981Q3","-","State","Number","7346"
"VSQ04C1","Marriages Registered","19814","1981Q4","-","State","Number","4395"
"VSQ04C1","Marriages Registered","19821","1982Q1","-","State","Number","4183"
"VSQ04C1","Marriages Registered","19822","1982Q2","-","State","Number","4539"
"VSQ04C1","Marriages Registered","19823","1982Q3","-","State","Number","7255"
"VSQ04C1","Marriages Registered","19824","1982Q4","-","State","Number","4247"
"VSQ04C1","Marriages Registered","19831","1983Q1","-","State","Number","4088"
"VSQ04C1","Marriages Registered","19832","1983Q2","-","State","Number","4614"
"VSQ04C1","Marriages Registered","19833","1983Q3","-","State","Number","6607"
"VSQ04C1","Marriages Registered","19834","1983Q4","-","State","Number","4158"
"VSQ04C1","Marriages Registered","19841","1984Q1","-","State","Number","2949"
"VSQ04C1","Marriages Registered","19842","1984Q2","-","State","Number","4237"
"VSQ04C1","Marriages Registered","19843","1984Q3","-","State","Number","7351"
"VSQ04C1","Marriages Registered","19844","1984Q4","-","State","Number","3976"
"VSQ04C1","Marriages Registered","19851","1985Q1","-","State","Number","2470"
"VSQ04C1","Marriages Registered","19852","1985Q2","-","State","Number","4368"
"VSQ04C1","Marriages Registered","19853","1985Q3","-","State","Number","7998"
"VSQ04C1","Marriages Registered","19854","1985Q4","-","State","Number","3955"
"VSQ04C1","Marriages Registered","19861","1986Q1","-","State","Number","2158"
"VSQ04C1","Marriages Registered","19862","1986Q2","-","State","Number","4406"
"VSQ04C1","Marriages Registered","19863","1986Q3","-","State","Number","8002"
"VSQ04C1","Marriages Registered","19864","1986Q4","-","State","Number","4007"
"VSQ04C1","Marriages Registered","19871","1987Q1","-","State","Number","2134"
"VSQ04C1","Marriages Registered","19872","1987Q2","-","State","Number","4222"
"VSQ04C1","Marriages Registered","19873","1987Q3","-","State","Number","8002"
"VSQ04C1","Marriages Registered","19874","1987Q4","-","State","Number","3951"
"VSQ04C1","Marriages Registered","19881","1988Q1","-","State","Number","2164"
"VSQ04C1","Marriages Registered","19882","1988Q2","-","State","Number","4287"
"VSQ04C1","Marriages Registered","19883","1988Q3","-","State","Number","8034"
"VSQ04C1","Marriages Registered","19884","1988Q4","-","State","Number","3897"
"VSQ04C1","Marriages Registered","19891","1989Q1","-","State","Number","2049"
"VSQ04C1","Marriages Registered","19892","1989Q2","-","State","Number","4809"
"VSQ04C1","Marriages Registered","19893","1989Q3","-","State","Number","8509"
"VSQ04C1","Marriages Registered","19894","1989Q4","-","State","Number","2807"
"VSQ04C1","Marriages Registered","19901","1990Q1","-","State","Number","2172"
"VSQ04C1","Marriages Registered","19902","1990Q2","-","State","Number","4278"
"VSQ04C1","Marriages Registered","19903","1990Q3","-","State","Number","7758"
"VSQ04C1","Marriages Registered","19904","1990Q4","-","State","Number","3630"
"VSQ04C1","Marriages Registered","19911","1991Q1","-","State","Number","2023"
"VSQ04C1","Marriages Registered","19912","1991Q2","-","State","Number","4000"
"VSQ04C1","Marriages Registered","19913","1991Q3","-","State","Number","7752"
"VSQ04C1","Marriages Registered","19914","1991Q4","-","State","Number","3666"
"VSQ04C1","Marriages Registered","19921","1992Q1","-","State","Number","1594"
"VSQ04C1","Marriages Registered","19922","1992Q2","-","State","Number","3427"
"VSQ04C1","Marriages Registered","19923","1992Q3","-","State","Number","7913"
"VSQ04C1","Marriages Registered","19924","1992Q4","-","State","Number","3702"
"VSQ04C1","Marriages Registered","19931","1993Q1","-","State","Number","1885"
"VSQ04C1","Marriages Registered","19932","1993Q2","-","State","Number","3936"
"VSQ04C1","Marriages Registered","19933","1993Q3","-","State","Number","7608"
"VSQ04C1","Marriages Registered","19934","1993Q4","-","State","Number","3395"
"VSQ04C1","Marriages Registered","19941","1994Q1","-","State","Number","1725"
"VSQ04C1","Marriages Registered","19942","1994Q2","-","State","Number","4056"
"VSQ04C1","Marriages Registered","19943","1994Q3","-","State","Number","7361"
"VSQ04C1","Marriages Registered","19944","1994Q4","-","State","Number","3479"
"VSQ04C1","Marriages Registered","19951","1995Q1","-","State","Number","1751"
"VSQ04C1","Marriages Registered","19952","1995Q2","-","State","Number","3711"
"VSQ04C1","Marriages Registered","19953","1995Q3","-","State","Number","6451"
"VSQ04C1","Marriages Registered","19954","1995Q4","-","State","Number","3691"
"VSQ04C1","Marriages Registered","19961","1996Q1","-","State","Number","1974"
"VSQ04C1","Marriages Registered","19962","1996Q2","-","State","Number","3653"
"VSQ04C1","Marriages Registered","19963","1996Q3","-","State","Number","6868"
"VSQ04C1","Marriages Registered","19964","1996Q4","-","State","Number","3679"
"VSQ04C1","Marriages Registered","19971","1997Q1","-","State","Number","1665"
"VSQ04C1","Marriages Registered","19972","1997Q2","-","State","Number","3577"
"VSQ04C1","Marriages Registered","19973","1997Q3","-","State","Number","7011"
"VSQ04C1","Marriages Registered","19974","1997Q4","-","State","Number","3378"
"VSQ04C1","Marriages Registered","19981","1998Q1","-","State","Number","1642"
"VSQ04C1","Marriages Registered","19982","1998Q2","-","State","Number","3689"
"VSQ04C1","Marriages Registered","19983","1998Q3","-","State","Number","7530"
"VSQ04C1","Marriages Registered","19984","1998Q4","-","State","Number","3922"
"VSQ04C1","Marriages Registered","19991","1999Q1","-","State","Number","2064"
"VSQ04C1","Marriages Registered","19992","1999Q2","-","State","Number","4577"
"VSQ04C1","Marriages Registered","19993","1999Q3","-","State","Number","7342"
"VSQ04C1","Marriages Registered","19994","1999Q4","-","State","Number","4543"
"VSQ04C1","Marriages Registered","20001","2000Q1","-","State","Number","2200"
"VSQ04C1","Marriages Registered","20002","2000Q2","-","State","Number","4670"
"VSQ04C1","Marriages Registered","20003","2000Q3","-","State","Number","7593"
"VSQ04C1","Marriages Registered","20004","2000Q4","-","State","Number","4705"
"VSQ04C1","Marriages Registered","20011","2001Q1","-","State","Number","2168"
"VSQ04C1","Marriages Registered","20012","2001Q2","-","State","Number","4533"
"VSQ04C1","Marriages Registered","20013","2001Q3","-","State","Number","7557"
"VSQ04C1","Marriages Registered","20014","2001Q4","-","State","Number","4988"
"VSQ04C1","Marriages Registered","20021","2002Q1","-","State","Number","2338"
"VSQ04C1","Marriages Registered","20022","2002Q2","-","State","Number","4994"
"VSQ04C1","Marriages Registered","20023","2002Q3","-","State","Number","7934"
"VSQ04C1","Marriages Registered","20024","2002Q4","-","State","Number","4781"
"VSQ04C1","Marriages Registered","20031","2003Q1","-","State","Number","2571"
"VSQ04C1","Marriages Registered","20032","2003Q2","-","State","Number","4827"
"VSQ04C1","Marriages Registered","20033","2003Q3","-","State","Number","7996"
"VSQ04C1","Marriages Registered","20034","2003Q4","-","State","Number","4908"
"VSQ04C1","Marriages Registered","20041","2004Q1","-","State","Number","2676"
"VSQ04C1","Marriages Registered","20042","2004Q2","-","State","Number","4719"
"VSQ04C1","Marriages Registered","20043","2004Q3","-","State","Number","8168"
"VSQ04C1","Marriages Registered","20044","2004Q4","-","State","Number","5056"
"VSQ04C1","Marriages Registered","20051","2005Q1","-","State","Number","2909"
"VSQ04C1","Marriages Registered","20052","2005Q2","-","State","Number","5130"
"VSQ04C1","Marriages Registered","20053","2005Q3","-","State","Number","8220"
"VSQ04C1","Marriages Registered","20054","2005Q4","-","State","Number","4464"
"VSQ04C1","Marriages Registered","20061","2006Q1","-","State","Number","3267"
"VSQ04C1","Marriages Registered","20062","2006Q2","-","State","Number","5094"
"VSQ04C1","Marriages Registered","20063","2006Q3","-","State","Number","8341"
"VSQ04C1","Marriages Registered","20064","2006Q4","-","State","Number","4139"
"VSQ04C1","Marriages Registered","20071","2007Q1","-","State","Number","3401"
"VSQ04C1","Marriages Registered","20072","2007Q2","-","State","Number","5558"
"VSQ04C1","Marriages Registered","20073","2007Q3","-","State","Number","8949"
"VSQ04C1","Marriages Registered","20074","2007Q4","-","State","Number","4848"
"VSQ04C1","Marriages Registered","20081","2008Q1","-","State","Number","3228"
"VSQ04C1","Marriages Registered","20082","2008Q2","-","State","Number","5351"
"VSQ04C1","Marriages Registered","20083","2008Q3","-","State","Number","8751"
"VSQ04C1","Marriages Registered","20084","2008Q4","-","State","Number","4857"
"VSQ04C1","Marriages Registered","20091","2009Q1","-","State","Number","3450"
"VSQ04C1","Marriages Registered","20092","2009Q2","-","State","Number","5432"
"VSQ04C1","Marriages Registered","20093","2009Q3","-","State","Number","8047"
"VSQ04C1","Marriages Registered","20094","2009Q4","-","State","Number","4698"
"VSQ04C1","Marriages Registered","20101","2010Q1","-","State","Number","3372"
"VSQ04C1","Marriages Registered","20102","2010Q2","-","State","Number","4993"
"VSQ04C1","Marriages Registered","20103","2010Q3","-","State","Number","7774"
"VSQ04C1","Marriages Registered","20104","2010Q4","-","State","Number","4455"
"VSQ04C1","Marriages Registered","20111","2011Q1","-","State","Number","3047"
"VSQ04C1","Marriages Registered","20112","2011Q2","-","State","Number","5015"
"VSQ04C1","Marriages Registered","20113","2011Q3","-","State","Number","7532"
"VSQ04C1","Marriages Registered","20114","2011Q4","-","State","Number","4261"
"VSQ04C1","Marriages Registered","20121","2012Q1","-","State","Number","2812"
"VSQ04C1","Marriages Registered","20122","2012Q2","-","State","Number","5411"
"VSQ04C1","Marriages Registered","20123","2012Q3","-","State","Number","7712"
"VSQ04C1","Marriages Registered","20124","2012Q4","-","State","Number","4778"
"VSQ04C1","Marriages Registered","20131","2013Q1","-","State","Number","3642"
"VSQ04C1","Marriages Registered","20132","2013Q2","-","State","Number","5444"
"VSQ04C1","Marriages Registered","20133","2013Q3","-","State","Number","7760"
"VSQ04C1","Marriages Registered","20134","2013Q4","-","State","Number","4924"
"VSQ04C1","Marriages Registered","20141","2014Q1","-","State","Number","3624"
"VSQ04C1","Marriages Registered","20142","2014Q2","-","State","Number","5567"
"VSQ04C1","Marriages Registered","20143","2014Q3","-","State","Number","8048"
"VSQ04C1","Marriages Registered","20144","2014Q4","-","State","Number","4956"
"VSQ04C1","Marriages Registered","20151","2015Q1","-","State","Number","3665"
"VSQ04C1","Marriages Registered","20152","2015Q2","-","State","Number","5516"
"VSQ04C1","Marriages Registered","20153","2015Q3","-","State","Number","8248"
"VSQ04C1","Marriages Registered","20154","2015Q4","-","State","Number","4857"
"VSQ04C1","Marriages Registered","20161","2016Q1","-","State","Number","3539"
"VSQ04C1","Marriages Registered","20162","2016Q2","-","State","Number","5707"
"VSQ04C1","Marriages Registered","20163","2016Q3","-","State","Number","8440"
"VSQ04C1","Marriages Registered","20164","2016Q4","-","State","Number","5073"
"VSQ04C1","Marriages Registered","20171","2017Q1","-","State","Number","3481"
"VSQ04C1","Marriages Registered","20172","2017Q2","-","State","Number","5616"
"VSQ04C1","Marriages Registered","20173","2017Q3","-","State","Number","7945"
"VSQ04C1","Marriages Registered","20174","2017Q4","-","State","Number","5049"
"VSQ04C1","Marriages Registered","20181","2018Q1","-","State","Number","3351"
"VSQ04C1","Marriages Registered","20182","2018Q2","-","State","Number","5407"
"VSQ04C1","Marriages Registered","20183","2018Q3","-","State","Number","7438"
"VSQ04C1","Marriages Registered","20184","2018Q4","-","State","Number","4905"
"VSQ04C1","Marriages Registered","20191","2019Q1","-","State","Number","3235"
"VSQ04C1","Marriages Registered","20192","2019Q2","-","State","Number","5293"
"VSQ04C1","Marriages Registered","20193","2019Q3","-","State","Number","7328"
"VSQ04C1","Marriages Registered","20194","2019Q4","-","State","Number","4596"
"VSQ04C1","Marriages Registered","20201","2020Q1","-","State","Number","2886"
"VSQ04C1","Marriages Registered","20202","2020Q2","-","State","Number","304"
"VSQ04C1","Marriages Registered","20203","2020Q3","-","State","Number","3080"
"VSQ04C1","Marriages Registered","20204","2020Q4","-","State","Number","3263"
"VSQ04C1","Marriages Registered","20211","2021Q1","-","State","Number","2265"
"VSQ04C1","Marriages Registered","20212","2021Q2","-","State","Number","2558"
"VSQ04C1","Marriages Registered","20213","2021Q3","-","State","Number","7022"
"VSQ04C1","Marriages Registered","20214","2021Q4","-","State","Number","5385"
"VSQ04C1","Marriages Registered","20221","2022Q1","-","State","Number","3205"
"VSQ04C1","Marriages Registered","20222","2022Q2","-","State","Number","6651"
"VSQ04C1","Marriages Registered","20223","2022Q3","-","State","Number","8046"
"VSQ04C1","Marriages Registered","20224","2022Q4","-","State","Number","5159"
"VSQ04C1","Marriages Registered","20231","2023Q1","-","State","Number","3425"
"VSQ04C1","Marriages Registered","20232","2023Q2","-","State","Number","5560"
"VSQ04C1","Marriages Registered","20233","2023Q3","-","State","Number","7373"
"VSQ04C1","Marriages Registered","20234","2023Q4","-","State","Number","4812"
"VSQ04C1","Marriages Registered","20241","2024Q1","-","State","Number","3136"
"VSQ04C1","Marriages Registered","20242","2024Q2","-","State","Number","5359"
